DataMessageGUID,SensorID,Sensor Name,Date,Value,Formatted Value,Battery,,,,
07b495a8-a95c-4331-91c6-c9abed5805d6,316572,OB2017Tank1,8/31/2017 7:33,21.8,21.8° C,100,,,7/22/2017 1:43,23
626616ef-93e8-4884-b3ee-053cdac37d00,316572,OB2017Tank1,8/31/2017 7:23,21.7,21.7° C,100,,,7/22/2017 1:52,22.9
c7945089-76db-4ff0-8137-dc785c7d6bd5,316572,OB2017Tank1,8/31/2017 7:13,21.8,21.8° C,100,,,7/22/2017 2:02,22.9
3ddbbd76-04a8-4265-9da9-52368870a79e,316572,OB2017Tank1,8/31/2017 7:04,21.8,21.8° C,100,,,7/22/2017 2:12,22.9
06c3f008-9ade-40ff-9ca3-2ad291a7e353,316572,OB2017Tank1,8/31/2017 6:54,21.8,21.8° C,100,,,7/22/2017 2:22,22.9
9ddb379c-84ee-4c36-8793-f29aff552ca7,316572,OB2017Tank1,8/31/2017 6:44,21.8,21.8° C,100,,,7/22/2017 2:32,22.9
03f71231-f702-4d8d-ae01-9dec14516151,316572,OB2017Tank1,8/31/2017 6:34,21.7,21.7° C,100,,,7/22/2017 2:42,22.9
d391d021-24f3-4e03-87df-85d34dfef604,316572,OB2017Tank1,8/31/2017 6:24,21.8,21.8° C,100,,,7/22/2017 2:52,22.9
a6dd7c5a-93fb-46aa-b979-c083cecd6d1e,316572,OB2017Tank1,8/31/2017 6:14,21.8,21.8° C,100,,,7/22/2017 3:02,22.8
0e29d931-0634-4a5b-b8a3-7e74f14694d5,316572,OB2017Tank1,8/31/2017 6:04,21.8,21.8° C,100,,,7/22/2017 3:11,22.8
948d3fb0-ee4f-482e-94ab-bc8736a8e999,316572,OB2017Tank1,8/31/2017 5:54,21.9,21.9° C,100,,,7/22/2017 3:21,22.8
b4532e0c-3047-4307-b446-32b403d70fe4,316572,OB2017Tank1,8/31/2017 5:44,21.8,21.8° C,100,,,7/22/2017 3:31,22.8
f4fffb66-44b0-4f87-84d5-dadf609bb336,316572,OB2017Tank1,8/31/2017 5:34,21.8,21.8° C,100,,,7/22/2017 3:41,22.8
9c31f6eb-948a-4cf5-b19c-387e263fe86b,316572,OB2017Tank1,8/31/2017 5:24,21.8,21.8° C,100,,,7/22/2017 3:51,22.8
14b264eb-1b27-465d-aaf3-589fdfc17760,316572,OB2017Tank1,8/31/2017 5:14,21.8,21.8° C,100,,,7/22/2017 4:01,22.8
e43f3e18-0858-4ae8-9782-1e481764f5a4,316572,OB2017Tank1,8/31/2017 5:04,21.8,21.8° C,100,,,7/22/2017 4:11,22.8
5d5a7861-6072-4d91-af9c-fcbd6f3a6ded,316572,OB2017Tank1,8/31/2017 4:55,21.8,21.8° C,100,,,7/22/2017 4:21,22.7
0ca5feb5-d047-4b77-b4fe-3587d73dab03,316572,OB2017Tank1,8/31/2017 4:45,21.8,21.8° C,100,,,7/22/2017 4:31,22.8
8d65f212-c79a-4139-bc68-fb7d64684ee5,316572,OB2017Tank1,8/31/2017 4:35,21.9,21.9° C,100,,,7/22/2017 4:40,22.8
f692f6c1-3d51-4226-a163-7ebf7eb18bea,316572,OB2017Tank1,8/31/2017 4:25,21.9,21.9° C,100,,,7/22/2017 4:50,22.8
472b6299-b618-4854-ac06-82bd998985d5,316572,OB2017Tank1,8/31/2017 4:15,21.8,21.8° C,100,,,7/22/2017 5:00,22.7
cff4be5a-c3c8-4f91-926b-349e1f8bb23b,316572,OB2017Tank1,8/31/2017 4:05,21.8,21.8° C,100,,,7/22/2017 5:10,22.7
